attraction_id,name,country,province,city,location,price,rating
2172,pemberton_half-day_trolling_tour,canada,british_columbia,whistler,"{'lat': 50.322224, 'lng': -122.807193}",229.95,5.0
2173,sea_kayaking_and_snorkeling,central_america,costa_rica,province_of_puntarenas,"{'lat': 9.4279555, 'lng': -84.1581806}",95.43,-1.0
2174,squamish_elaho_white-water_rafting_from_whistler,canada,british_columbia,squamish,"{'lat': 49.749151, 'lng': -123.133378}",173.24,5.0
2175,squamish_cheakamus_white-water_rafting_from_whistler,canada,british_columbia,squamish,"{'lat': 49.749151, 'lng': -123.133378}",120.74,5.0
2176,squamish_elaho_white-water_rafting_from_vancouver,canada,british_columbia,squamish,"{'lat': 49.749151, 'lng': -123.133378}",215.24,5.0
2177,keji_southern_lakes_canoe_trip_-_4_day,canada,nova_scotia,things_to_do_in_earltown,nil,914.25,-1.0
2178,vancouver_to_victoria_whale_watching_with_return_to_vancouver_by_seaplane,canada,british_columbia,vancouver,"{'lat': 49.284751, 'lng': -123.1394811}",569.0,4.5
2179,half-day_canoe_trip_on_the_takihini_river,canada,yukon,whitehorse,"{'lat': 60.8151378, 'lng': -135.2986155}",125.0,5.0
2180,overnight_camping_and_river-rafting_trip_in_squamish,canada,british_columbia,squamish,"{'lat': 49.749151, 'lng': -123.133378}",425.24,5.0
2181,whale-watching_marine_wildlife_excursion_by_zodiac_boat,canada,newfoundland_and_labrador,things_to_do_in_trinity,"{'lat': 48.368514, 'lng': -53.357835}",80.0,4.5
2182,gulf_islands_kayak_and_seaplane_adventure,canada,british_columbia,vancouver,"{'lat': 49.284751, 'lng': -123.1394811}",629.0,5.0
2183,private_salmon_fishing_charter_from_vancouver_for_up_to_4_people,canada,british_columbia,vancouver,"{'lat': 49.2024708, 'lng': -123.1445768}",749.77,5.0
2184,cowichan_river_tubing_rental,canada,british_columbia,vancouver_island,"{'lat': 48.823995, 'lng': -124.058572}",21.0,4.5
2185,half-day_ice_fishing,canada,british_columbia,whistler,"{'lat': 50.322224, 'lng': -122.807193}",208.95,5.0
2186,english_bay_jet_ski_tour_from_vancouver_with_dinner_on_bowen_island,canada,british_columbia,vancouver,"{'lat': 49.27173, 'lng': -123.1366559}",222.88,5.0
2187,vancouver_jet_ski_rental,canada,british_columbia,vancouver,"{'lat': 49.27173, 'lng': -123.1366559}",211.56,4.5
2188,english_bay_jet_ski_tour_from_vancouver,canada,british_columbia,vancouver,"{'lat': 49.27173, 'lng': -123.1366559}",155.68,5.0
2189,victoria_harbour_sunset_kayak_tour,canada,british_columbia,vancouver_island,"{'lat': 48.4293288, 'lng': -123.369743}",78.2,5.0
2190,half-day_whitewater_rafting_in_revelstoke,canada,british_columbia,things_to_do_in_revelstoke,"{'lat': 50.9984591, 'lng': -118.194305}",130.2,5.0
2191,squamish_scenic_twilight_float,canada,british_columbia,squamish,"{'lat': 49.749151, 'lng': -123.133378}",83.99,-1.0
2192,sunwapta_river_self-drive_rafting_trip,canada,alberta,canadian_rockies,"{'lat': 52.8751383, 'lng': -118.0807898}",93.45,5.0
2193,arctic_day:_yukon_river_canoeing_tour,canada,yukon,whitehorse,"{'lat': 60.7227415, 'lng': -135.0558791}",198.45,5.0
2194,bowen_explorer_sea_safari_tour,canada,british_columbia,vancouver,nil,97.65,-1.0
2195,whistler_half-day_spin_fishing,canada,british_columbia,whistler,"{'lat': 50.322224, 'lng': -122.807193}",208.95,5.0
2196,victoria_harbour_kayak_tour,canada,british_columbia,vancouver_island,"{'lat': 48.4293288, 'lng': -123.369743}",78.25,5.0
2197,victoria_harbour_stand-up_paddleboard_tour,canada,british_columbia,vancouver_island,"{'lat': 48.4293288, 'lng': -123.369743}",79.0,5.0
2198,okanagan_flyboard_experience,canada,british_columbia,okanagan_valley,nil,124.0,5.0
2199,4-day_algonquin_park_canoe_trip,canada,ontario,ottawa,nil,711.9,4.0
2200,brentwood_bay_guided_kayak_tours,canada,british_columbia,vancouver_island,"{'lat': 48.578083, 'lng': -123.466695}",72.8,5.0
2201,brentwood_bay_kayak_tour_and_restaurant_lunch,canada,british_columbia,vancouver_island,"{'lat': 48.578083, 'lng': -123.466695}",89.6,5.0
2202,brentwood_bay_kayak_tour_and_butchart_gardens_visit,canada,british_columbia,vancouver_island,"{'lat': 48.578083, 'lng': -123.466695}",100.8,5.0
